Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
100,25,5,102,5,Some Random Commen with Id 100
101,25,5,168,5,Some Random Commen with Id 101
102,26,1,25,9,Some Random Commen with Id 102
103,26,1,161,5,Some Random Commen with Id 103
104,26,1,113,6,Some Random Commen with Id 104
105,26,1,70,0,Some Random Commen with Id 105
106,26,1,124,7,Some Random Commen with Id 106
107,26,1,31,1,Some Random Commen with Id 107
108,26,1,145,9,Some Random Commen with Id 108
109,26,1,50,5,Some Random Commen with Id 109
110,26,1,43,2,Some Random Commen with Id 110
111,27,2,7,4,Some Random Commen with Id 111
112,27,2,151,9,Some Random Commen with Id 112
113,27,2,95,6,Some Random Commen with Id 113
114,27,2,86,4,Some Random Commen with Id 114
115,27,2,149,5,Some Random Commen with Id 115
116,27,2,173,0,Some Random Commen with Id 116
117,27,2,187,2,Some Random Commen with Id 117
118,27,2,128,8,Some Random Commen with Id 118
119,28,9,183,9,Some Random Commen with Id 119
120,28,9,157,4,Some Random Commen with Id 120
121,28,9,8,3,Some Random Commen with Id 121
122,28,9,140,6,Some Random Commen with Id 122
123,28,9,65,0,Some Random Commen with Id 123
124,28,9,58,2,Some Random Commen with Id 124
125,28,9,123,9,Some Random Commen with Id 125
126,29,5,42,6,Some Random Commen with Id 126
127,29,5,149,8,Some Random Commen with Id 127
128,29,5,177,9,Some Random Commen with Id 128
129,29,5,159,0,Some Random Commen with Id 129
130,29,5,122,0,Some Random Commen with Id 130
131,29,5,87,7,Some Random Commen with Id 131
132,29,5,3,5,Some Random Commen with Id 132
133,29,5,67,6,Some Random Commen with Id 133
134,29,5,108,0,Some Random Commen with Id 134
135,30,0,165,5,Some Random Commen with Id 135
136,30,0,62,1,Some Random Commen with Id 136
137,31,1,77,8,Some Random Commen with Id 137
138,31,1,45,1,Some Random Commen with Id 138
139,31,1,56,8,Some Random Commen with Id 139
140,31,1,139,0,Some Random Commen with Id 140
141,31,1,111,9,Some Random Commen with Id 141
142,31,1,2,1,Some Random Commen with Id 142
143,31,1,194,0,Some Random Commen with Id 143
144,31,1,198,1,Some Random Commen with Id 144
145,31,1,65,7,Some Random Commen with Id 145
146,32,7,122,7,Some Random Commen with Id 146
147,32,7,33,3,Some Random Commen with Id 147
148,32,7,58,5,Some Random Commen with Id 148
149,32,7,2,9,Some Random Commen with Id 149
150,32,7,44,0,Some Random Commen with Id 150
151,32,7,137,6,Some Random Commen with Id 151
152,32,7,79,4,Some Random Commen with Id 152
153,32,7,120,9,Some Random Commen with Id 153
154,33,1,164,4,Some Random Commen with Id 154
155,33,1,42,1,Some Random Commen with Id 155
156,33,1,44,2,Some Random Commen with Id 156
157,33,1,91,3,Some Random Commen with Id 157
158,33,1,36,9,Some Random Commen with Id 158
159,33,1,5,4,Some Random Commen with Id 159
160,33,1,18,4,Some Random Commen with Id 160
161,33,1,38,8,Some Random Commen with Id 161
162,34,1,95,5,Some Random Commen with Id 162
163,34,1,28,5,Some Random Commen with Id 163
164,34,1,97,0,Some Random Commen with Id 164
165,34,1,82,3,Some Random Commen with Id 165
166,35,9,183,7,Some Random Commen with Id 166
167,35,9,18,3,Some Random Commen with Id 167
168,35,9,76,2,Some Random Commen with Id 168
169,35,9,81,2,Some Random Commen with Id 169
170,35,9,69,1,Some Random Commen with Id 170
171,35,9,117,5,Some Random Commen with Id 171
172,36,8,95,2,Some Random Commen with Id 172
173,36,8,14,4,Some Random Commen with Id 173
174,36,8,53,7,Some Random Commen with Id 174
175,36,8,41,7,Some Random Commen with Id 175
176,37,4,29,4,Some Random Commen with Id 176
177,37,4,153,0,Some Random Commen with Id 177
178,37,4,139,2,Some Random Commen with Id 178
179,37,4,43,8,Some Random Commen with Id 179
180,37,4,192,2,Some Random Commen with Id 180
181,37,4,112,1,Some Random Commen with Id 181
182,37,4,181,6,Some Random Commen with Id 182
183,37,4,114,5,Some Random Commen with Id 183
184,37,4,16,9,Some Random Commen with Id 184
185,38,1,111,7,Some Random Commen with Id 185
186,38,1,90,8,Some Random Commen with Id 186
187,38,1,76,1,Some Random Commen with Id 187
188,38,1,195,0,Some Random Commen with Id 188
189,38,1,100,2,Some Random Commen with Id 189
190,38,1,145,7,Some Random Commen with Id 190
191,38,1,194,2,Some Random Commen with Id 191
192,38,1,153,8,Some Random Commen with Id 192
193,39,9,197,9,Some Random Commen with Id 193
194,39,9,198,3,Some Random Commen with Id 194
195,39,9,134,9,Some Random Commen with Id 195
196,39,9,84,1,Some Random Commen with Id 196
197,39,9,63,5,Some Random Commen with Id 197
198,39,9,184,2,Some Random Commen with Id 198
199,39,9,149,2,Some Random Commen with Id 199
200,39,9,13,0,Some Random Commen with Id 200
